objt,dt,temperature,metal_height,ae_num,ae_dur,avg_ae_volt,rais_num,rais_time,lowr_num,lowr_time,avg_ctrl_coeff,ctrl_man_time,ctrl_lock_time,feed_auto_dumps,feed_man_dumps,feed_man_time,feed_lock_time,avg_feed_setp,overfeed_time,underfeed_time,test_time,off_time,nominal_time,avg_fluor_setp,fluor_auto_dumps,fluor_doze_troll,feed_doze_troll,avg_raw_volt,avg_norm_volt,avg_volt_setp,avg_volt_add,avg_noise,high_noise_time,avg_back_emf,carbondust,weight_plan,pot_age,tap_ratio,pot_curr_eff_lo,weight_pot_lo,volt_pod,metal_height_calc,starve_time,num_overfeeds,num_underfeeds,num_tests,overfeed_dumps,underfeed_dumps,test_dumps,nominal_dumps,tap_time,temp_lic,temp_bath,temp_heat,temperature_goal,cr_goal,avg_raw_volt_goal,bath_height,avg_add_reset,avg_add_temp,avg_add_noise,tap_reset_int,res_cover_int,meas_tap_int,an_pull_cnt,avg_add_temperature,ae_num_1,avg_volt_bus,si_cruce,fe_cruce,violation,anod,konus
0.0,2020-02-01,958.0,16.0,0.0,,,27.0,-41.0,15.0,38.0,33.6,0.2,0.0,7267.0,0.0,0.2,0.0,1.3,3.9,4.4,0.4,0.2,15.0,375.7,14.0,0.75,7.09,3.7039999999999997,3.701,3.656,0.034,0.023,7.1,1.4509999999999998,,4200.0,30.0,,,4090.0,,16.0,,14.0,20.0,2.0,1711.0,740.0,37.0,4752.0,24.0,949.0,958.0,9.0,962.0,2.35,3.63,20.0,0.034,0.0,0.0,9.2,,2.1,0.0,0.026000000000000002,1.0,0.703583902,0.0309,0.0645,,,0
0.0,2020-02-02,954.0,16.0,0.0,,,11.0,-13.0,4.0,7.0,32.5,0.2,0.0,6521.0,0.0,0.2,0.0,1.3,4.6,7.8,1.3,0.2,10.1,24.7,60.0,0.75,7.09,3.699,3.697,3.656,0.034,0.019,3.8,1.4509999999999998,,4200.0,30.03,,,4250.0,,16.0,,10.0,16.0,3.0,1877.0,1337.0,111.0,3188.0,31.0,947.0,954.0,7.0,962.0,2.35,3.63,18.0,0.034,0.0,0.0,9.2,2.6,4.3,0.0,0.026000000000000002,,0.709651136,0.0309,0.0637,,,0
0.0,2020-02-03,947.0,15.0,0.0,,,16.0,-24.0,5.0,12.0,27.5,0.1,0.0,6492.0,0.0,0.1,0.0,1.3,6.4,8.6,1.1,0.1,7.8,124.4,70.0,0.75,7.09,3.715,3.71,3.668,0.034,0.013000000000000001,0.5,1.4509999999999998,,4200.0,30.06,,,4270.0,,15.0,,14.0,15.0,7.0,2587.0,1470.0,98.0,2337.0,29.0,939.0,947.0,8.0,962.0,2.35,3.63,18.0,0.034,0.0,0.0,7.4,2.8,3.2,0.0,0.038,,0.710669129,0.0311,0.0842,,,0
0.0,2020-02-04,952.0,14.0,0.0,,,12.0,-22.0,7.0,17.0,32.6,0.1,0.0,6382.0,0.0,,0.0,1.3,5.1,6.2,1.1,,9.9,372.4,25.0,0.75,7.09,3.714,3.708,3.6660000000000004,0.034,0.013999999999999999,3.1,1.485,,4200.0,30.1,,,4060.0,,14.0,52.0,11.0,14.0,3.0,2055.0,1028.0,96.0,3194.0,28.0,948.0,952.0,4.0,962.0,2.35,3.63,19.0,0.034,0.0,0.0,10.6,3.1,4.8,0.0,0.036000000000000004,,0.712008712,0.0315,0.0841,,,0
0.0,2020-02-05,961.0,14.0,0.0,,,10.0,-12.0,5.0,8.0,29.7,0.0,0.0,6510.0,0.0,,0.0,1.3,6.7,7.8,1.7,,7.8,14.8,97.0,0.75,7.09,3.7119999999999997,3.71,3.6630000000000003,0.034,0.008,,1.7209999999999999,,3570.0,30.13,,,3650.0,,14.0,,13.0,14.0,5.0,2628.0,1362.0,147.0,2362.0,22.0,953.0,961.0,8.0,962.0,2.35,3.63,16.0,0.034,0.0,0.0,5.9,3.1,6.1,0.0,0.033,,0.7248238640000001,0.0312,0.0811,,,0
0.0,2020-02-06,958.0,13.0,0.0,,,19.0,-33.0,8.0,22.0,29.2,0.0,0.0,7106.0,0.0,0.3,0.0,1.3,7.2,5.4,1.1,0.2,10.1,14.4,103.0,0.75,7.09,3.701,3.701,3.65,0.034,0.013999999999999999,1.4,1.625,,2560.0,30.16,,,2560.0,,13.0,,17.0,16.0,4.0,2983.0,886.0,107.0,3105.0,19.0,958.0,958.0,0.0,962.0,2.35,3.63,15.0,0.034,0.0,0.0,4.3,4.1,5.7,0.0,0.02,,0.724974432,0.0314,0.076,,,0
0.0,2020-02-07,958.0,14.0,0.0,,,16.0,-26.0,11.0,29.0,30.2,0.0,0.0,6517.0,0.0,0.2,0.0,1.3,5.7,7.4,1.8,0.2,8.9,12.3,115.0,0.75,7.09,3.7310000000000003,3.728,3.6489999999999996,0.065,0.01,0.7,1.919,,2150.0,30.19,,,2190.0,,14.0,,14.0,15.0,6.0,2290.0,1252.0,159.0,2800.0,12.0,943.0,958.0,15.0,962.0,2.35,3.63,15.0,0.065,0.0,0.0,4.1,4.6,6.4,0.0,0.019,1.0,0.735000379,0.0338,0.0723,,,0
0.0,2020-02-08,952.0,15.0,0.0,,,13.0,-17.0,9.0,19.0,33.1,0.1,0.0,6955.0,0.0,0.2,0.0,1.3,6.4,6.1,0.2,0.2,11.1,198.3,70.0,0.75,7.09,3.7089999999999996,3.705,3.656,0.035,0.016,2.5,1.8,,4150.0,30.23,,,4080.0,,15.0,,14.0,20.0,1.0,2589.0,1030.0,15.0,3311.0,28.0,948.0,952.0,4.0,962.0,2.35,3.63,17.0,0.035,0.0,0.0,2.9,9.2,5.5,0.0,0.026000000000000002,1.0,0.739597727,0.0316,0.0699,,,0
0.0,2020-02-09,944.0,15.0,0.0,,,23.0,-43.0,17.0,36.0,39.5,0.3,0.0,6512.0,0.0,0.4,0.0,1.3,2.3,5.9,0.4,0.3,15.1,161.8,34.0,0.75,7.09,3.7119999999999997,3.708,3.673,0.034,0.027999999999999997,8.1,1.6480000000000001,,4150.0,30.26,,,4200.0,,15.0,,11.0,16.0,1.0,997.0,938.0,37.0,4497.0,25.0,930.0,944.0,14.0,962.0,2.35,3.63,18.0,0.034,0.0,0.0,5.1,4.6,3.7,0.0,0.043,1.0,0.746301894,0.0315,0.0699,,,0
0.0,2020-02-10,955.0,,0.0,,,17.0,-33.0,12.0,28.0,39.7,0.3,0.0,6599.0,0.0,0.3,0.0,1.3,4.2,6.9,1.1,0.3,11.5,480.0,3.0,0.75,7.09,3.7110000000000003,3.707,3.674,0.034,0.017,2.5,1.6480000000000001,,4150.0,30.29,,,4130.0,,,,15.0,16.0,4.0,1775.0,1143.0,85.0,3552.0,28.0,950.0,955.0,5.0,962.0,2.35,3.63,17.0,0.034,0.0,0.0,9.1,3.9,1.4,0.0,0.044000000000000004,1.0,0.747783144,0.0319,0.0707,,,0
