POT_ID,DATE_TRUNC,SHOP_ID,ROOM_ID,CR,MGF2,CAF2,TEMPERATURE,METAL_HEIGHT,AE_NUM,AE_DUR,AVG_AE_VOLT,RAIS_NUM,RAIS_TIME,LOWR_NUM,LOWR_TIME,AVG_CTRL_COEFF,CTRL_MAN_TIME,CTRL_LOCK_TIME,FEED_AUTO_DUMPS,FEED_MAN_DUMPS,FEED_MAN_TIME,FEED_LOCK_TIME,AVG_FEED_SETP,OVERFEED_TIME,UNDERFEED_TIME,TEST_TIME,OFF_TIME,NOMINAL_TIME,AVG_FLUOR_SETP,FLUOR_AUTO_DUMPS,FLUOR_DOZE_TROLL,FEED_DOZE_TROLL,AVG_RAW_VOLT,AVG_NORM_VOLT,AVG_VOLT_SETP,AVG_VOLT_ADD,AVG_NOISE,HIGH_NOISE_TIME,AVG_BACK_EMF,CARBONDUST,WEIGHT_PLAN,POT_AGE,TAP_RATIO,POT_CURR_EFF_LO,WEIGHT_POT_LO,VOLT_POD,METAL_HEIGHT_CALC,STARVE_TIME,NUM_OVERFEEDS,NUM_UNDERFEEDS,NUM_TESTS,OVERFEED_DUMPS,UNDERFEED_DUMPS,TEST_DUMPS,NOMINAL_DUMPS,TAP_TIME,TEMP_LIC,TEMP_BATH,TEMP_HEAT,TEMPERATURE_GOAL,CR_GOAL,AVG_RAW_VOLT_GOAL,BATH_HEIGHT,AVG_ADD_RESET,AVG_ADD_TEMP,AVG_ADD_NOISE,TAP_RESET_INT,RES_COVER_INT,MEAS_TAP_INT,AN_PULL_CNT,AVG_ADD_TEMPERATURE,AE_NUM_1,AVG_VOLT_BUS,SI_CRUCE,FE_CRUCE,Вид  нарушения_наименование,№ анода,возраст на момент обнаружения,Вид  нарушения_количество
1,2024-03-01,1,0,,,,953.0,21.0,1.0,0.1,12.0,17.0,-43.0,15.0,34.0,31.2,0.1,0.0,8278.0,0.0,0.5,0.0,1.3,9.9,4.0,0.0,0.5,9.5,373.1,26.0,0.75,6.91,3.891,3.888,3.857,0.026,0.017,1.3,1.946,,4500.0,19.65,1149.11,136.36339,5940.0,,21.0,4.0,22.0,22.0,0.0,4117.0,667.0,,3383.0,4.0,950.0,953.0,3.0,962.0,2.3,3.77,10.0,0.026,0.0,0.0,8.2,3.4,4.7,0.0,0.088,1.0,0.7345,0.04405,0.07735,,,,
1,2024-03-01,1,0,,,,953.0,21.0,1.0,0.1,12.0,17.0,-43.0,15.0,34.0,31.2,0.1,0.0,8278.0,0.0,0.5,0.0,1.3,9.9,4.0,0.0,0.5,9.5,373.1,26.0,0.75,6.91,3.891,3.888,3.857,0.026,0.017,1.3,1.946,,4500.0,19.65,1149.11,136.36339,5940.0,,21.0,4.0,22.0,22.0,0.0,4117.0,667.0,,3383.0,28.0,950.0,953.0,3.0,962.0,2.3,3.77,10.0,0.026,0.0,0.0,8.2,3.4,4.7,0.0,0.088,1.0,0.7345,0.04405,0.07735,,,,
1,2024-03-02,1,0,2.26,0.82,6.04,952.0,21.0,0.0,,,8.0,-14.0,4.0,8.0,30.7,0.4,0.0,7244.0,0.0,,0.0,1.3,7.9,6.6,0.5,,8.9,26.7,55.0,0.75,6.91,3.856,3.852,3.83,0.026,0.015,2.6,1.946,,4120.0,19.69,1052.07,91.58858,3990.0,,21.0,8.0,16.0,18.0,3.0,3274.0,1156.0,38.0,2774.0,28.0,937.0,952.0,15.0,962.0,2.3,3.77,13.0,0.026,0.0,0.0,5.7,2.3,4.5,0.0,0.06,,0.7263,0.043,0.0745,,,,
1,2024-03-03,1,0,,,,955.0,20.0,0.0,,,4.0,-8.0,5.0,9.0,35.4,0.2,0.0,7422.0,0.0,,0.0,1.3,8.9,7.5,0.1,,7.6,21.3,70.0,0.75,6.91,3.857,3.853,3.821,0.026,0.012,0.7,1.946,,4120.0,19.72,1133.0,88.17638,3840.0,,20.0,3.0,20.0,20.0,1.0,3700.0,1292.0,12.0,2418.0,26.0,942.0,955.0,13.0,962.0,2.3,3.77,16.0,0.026,0.0,0.0,8.3,,5.4,0.0,0.051,,0.7199,0.0428,0.0736,,,,
1,2024-03-04,1,0,2.18,0.91,6.06,947.0,20.0,0.0,,,10.0,-18.0,4.0,8.0,33.2,0.1,0.0,7589.0,0.0,,0.0,1.3,9.1,6.9,0.2,,7.7,187.3,35.0,0.75,6.91,3.85,3.847,3.812,0.026,0.013,0.3,1.844,,4120.0,19.75,1091.04,96.74253,4210.0,,20.0,4.0,20.0,20.0,1.0,3840.0,1211.0,20.0,2487.0,27.0,933.0,947.0,14.0,962.0,2.3,3.77,16.0,0.026,0.0,0.0,3.9,3.4,7.8,0.0,0.042,,0.7206,0.0429,0.0712,,,,
1,2024-03-05,1,0,,,,948.0,20.0,0.0,,,4.0,-12.0,3.0,6.0,34.1,0.0,0.0,7651.0,0.0,,0.0,1.3,9.8,6.0,0.0,,7.8,55.8,0.0,0.75,6.91,3.872,3.869,3.83,0.026,0.011,,1.695,,4120.0,19.78,1052.07,95.06492,4140.0,,20.0,13.0,20.0,19.0,0.0,4101.0,1018.0,,2526.0,28.0,937.0,948.0,11.0,962.0,2.3,3.77,16.0,0.026,0.0,0.0,5.4,4.1,3.9,0.0,0.06,,0.7342,0.0431,0.0758,,,,
1,2024-03-06,1,0,2.29,0.73,5.86,941.0,20.0,0.0,,,7.0,-16.0,4.0,6.0,31.9,0.0,0.0,7011.0,0.0,,0.0,1.3,7.1,8.4,0.7,,7.5,149.0,6.0,0.75,6.91,3.874,3.869,3.844,0.026,0.015,0.6,1.695,,4120.0,19.81,1091.04,94.80359,4130.0,,20.0,11.0,16.0,19.0,3.0,2987.0,1522.0,65.0,2437.0,27.0,940.0,941.0,1.0,962.0,2.3,3.77,16.0,0.026,0.0,0.0,7.5,5.9,4.6,0.0,0.074,,0.7368,0.0423,0.0717,,,,
1,2024-03-07,1,0,,,,960.0,21.0,0.0,,,4.0,-8.0,2.0,3.0,29.8,0.0,0.0,7046.0,0.0,,0.0,1.3,9.0,8.5,0.2,,6.3,372.6,32.0,0.75,6.91,3.829,3.827,3.831,,0.01,,1.558,,4120.0,19.85,1091.04,95.5951,4160.0,,21.0,,18.0,19.0,1.0,3655.0,1427.0,17.0,1947.0,27.0,949.0,960.0,11.0,962.0,2.3,3.77,17.0,0.0,0.0,0.0,,,2.5,0.0,0.06,,0.735,0.043,0.0708,,,,
1,2024-03-08,1,0,2.39,0.74,6.12,950.0,20.0,0.0,,,5.0,-13.0,4.0,6.0,31.1,0.0,0.0,7299.0,0.0,,0.0,1.3,9.5,6.9,0.0,,7.1,12.9,114.0,0.75,6.91,3.844,3.842,3.807,0.026,0.01,0.2,1.526,,4120.0,19.88,1091.04,98.5997,4290.0,304.0,20.0,27.0,19.0,18.0,0.0,3933.0,1231.0,,2133.0,27.0,947.0,950.0,3.0,962.0,2.3,3.77,19.0,0.026,0.0,0.0,7.9,3.2,2.7,0.0,0.037,,0.7358,0.0457,0.0828,,,,
1,2024-03-09,1,0,,,,949.0,20.0,0.0,,,4.0,-8.0,4.0,7.0,31.4,0.2,0.0,7495.0,0.0,,0.0,1.2,9.2,7.4,0.0,,7.3,11.5,123.0,0.75,6.81,3.863,3.862,3.83,0.026,0.014,0.6,1.622,,4120.0,19.91,,96.09271,4180.0,,20.0,5.0,19.0,20.0,0.0,3850.0,1281.0,,2364.0,,948.0,949.0,1.0,962.0,2.3,3.77,20.0,0.026,0.0,0.0,7.9,2.8,2.9,0.0,0.06,,0.7307,0.0434,0.0774,,,,
