Nomer elektrolizera,,,min,max
0.0,APG,APG_0,18282.5,44503.484116483945
0.0,APG,APG_1,44503.484116483945,51152.477347377004
0.0,APG,APG_2,51152.477347377004,61794.1
0.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._0,0.0,29.845687861846933
0.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._1,29.845687861846933,110.29142365552053
0.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._2,110.29142365552053,184.0
0.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_0,7.6,-52.49120129198758
0.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_1,-52.49120129198758,208.88571683129317
0.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_2,208.88571683129317,480.0
0.0,AlF3: ves dozy,AlF3: ves dozy_0,0.6999999999999998,0.7290030723060924
0.0,AlF3: ves dozy,AlF3: ves dozy_1,0.7290030723060924,0.8064286825685872
0.0,AlF3: ves dozy,AlF3: ves dozy_2,0.8064286825685872,0.8000000000000002
0.0,Cr. dobavka po shumam,Cr. dobavka po shumam_0,0.0,-0.003051613864077722
0.0,Cr. dobavka po shumam,Cr. dobavka po shumam_1,-0.003051613864077722,0.006987628489306225
0.0,Cr. dobavka po shumam,Cr. dobavka po shumam_2,0.006987628489306225,0.049
0.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_0,0.0,0.021878728113410392
0.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_1,0.021878728113410392,0.047594763659897774
0.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_2,0.047594763659897774,0.086
0.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_0,0.0,-0.004530986611578769
0.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_1,-0.004530986611578769,0.0052659043446683495
0.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_2,0.0052659043446683495,0.142
0.0,Dlit. shuma,Dlit. shuma_0,0.0,-0.42849095787557245
0.0,Dlit. shuma,Dlit. shuma_1,-0.42849095787557245,3.0065731496563988
0.0,Dlit. shuma,Dlit. shuma_2,3.0065731496563988,12.8
0.0,Dlitelnost vylivki,Dlitelnost vylivki_0,3.0,15.760648593714478
0.0,Dlitelnost vylivki,Dlitelnost vylivki_1,15.760648593714478,31.189542977166745
0.0,Dlitelnost vylivki,Dlitelnost vylivki_2,31.189542977166745,71.0
0.0,Dob. napr.,Dob. napr._0,0.0,-0.018873857969447953
0.0,Dob. napr.,Dob. napr._1,-0.018873857969447953,0.09829486253565728
0.0,Dob. napr.,Dob. napr._2,0.09829486253565728,1.5630000000000002
0.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_0,-0.059,-0.010012499782804017
0.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_1,-0.010012499782804017,0.036641384609129385
0.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_2,0.036641384609129385,0.081
0.0,Doza glinozema,Doza glinozema_0,5.7,6.635202243351308
0.0,Doza glinozema,Doza glinozema_1,6.635202243351308,7.37680141630118
0.0,Doza glinozema,Doza glinozema_2,7.37680141630118,8.0
0.0,El-lit: CaF2,El-lit: CaF2_0,4.65,5.253435673345675
0.0,El-lit: CaF2,El-lit: CaF2_1,5.253435673345675,5.746488223153569
0.0,El-lit: CaF2,El-lit: CaF2_2,5.746488223153569,6.2
0.0,El-lit: KO,El-lit: KO_0,2.1,2.2474684080864367
0.0,El-lit: KO,El-lit: KO_1,2.2474684080864367,2.4762880607111453
0.0,El-lit: KO,El-lit: KO_2,2.4762880607111453,2.7000000000000006
0.0,El-lit: MgF2,El-lit: MgF2_0,0.22,0.5497331072639223
0.0,El-lit: MgF2,El-lit: MgF2_1,0.5497331072639223,0.7059685670130976
0.0,El-lit: MgF2,El-lit: MgF2_2,0.7059685670130976,0.87
0.0,El-lit: temp-ra,El-lit: temp-ra_0,931.0,948.904055652509
0.0,El-lit: temp-ra,El-lit: temp-ra_1,948.904055652509,967.6851483731086
0.0,El-lit: temp-ra,El-lit: temp-ra_2,967.6851483731086,1030.0
0.0,El-t: uroven (fakt),El-t: uroven (fakt)_0,10.0,15.184305209265869
0.0,El-t: uroven (fakt),El-t: uroven (fakt)_1,15.184305209265869,19.831248313149505
0.0,El-t: uroven (fakt),El-t: uroven (fakt)_2,19.831248313149505,30.0
0.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_0,0.1,5.487309746059825
0.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_1,5.487309746059825,11.247685061832176
